iter	MAPE	Quantile:alpha=0.5
535	0.1153782536	0.1139297878
536	0.1151563364	0.1137443688
537	0.1151130096	0.1136619983
538	0.1150779943	0.1136117668
539	0.1150341141	0.1135453545
540	0.1149849129	0.1134833048
541	0.1148638789	0.1133769215
542	0.1146703761	0.1132023603
543	0.114532797	0.113076187
544	0.1142665618	0.1128479875
545	0.1140838036	0.1126867171
546	0.113966509	0.1125693565
547	0.1138473459	0.1124595415
548	0.1137658142	0.1123514358
549	0.1136570343	0.112256519
550	0.1135406368	0.1121551186
551	0.1133744117	0.1120000157
552	0.1132989054	0.1119017116
553	0.1132383947	0.1118307011
554	0.1131782875	0.111766426
555	0.1130686134	0.1116390086
556	0.1130360733	0.1115732284
557	0.1129328505	0.1114966403
558	0.112825383	0.1113800486
559	0.1127745805	0.1112908895
560	0.1126075989	0.1111377422
561	0.1125482092	0.1110749067
562	0.1124831896	0.1109965259
563	0.1123707646	0.110852521
564	0.1122621183	0.1107547137
565	0.1122309906	0.1107114697
566	0.1121347769	0.1105844108
567	0.1120551955	0.110493057
568	0.1120277727	0.1104526919
569	0.1119219634	0.1103543195
570	0.1116822862	0.1101664825
571	0.1116518441	0.1101069932
572	0.1116007032	0.1100422374
573	0.1115720402	0.1099824347
574	0.1115173638	0.1098905408
575	0.1114169504	0.1097898663
576	0.1113172869	0.1097040044
577	0.1112748343	0.1096451682
578	0.1111999709	0.1095529569
579	0.1110929283	0.1094552815
580	0.111053567	0.1094138176
581	0.1109585486	0.1092905255
582	0.1109108348	0.1092301303
583	0.1108067932	0.1091164928
584	0.110740712	0.1090491138
585	0.1106696375	0.1089753588
586	0.110557469	0.1088853339
587	0.1103697939	0.1087224008
588	0.1103311763	0.1086657476
589	0.1101755734	0.1085321447
590	0.110144202	0.1084858266
591	0.1100868014	0.1084101094
592	0.1099191644	0.1082361517
593	0.109795137	0.1081314713
594	0.109700028	0.1080409075
595	0.1095493931	0.1078835132
596	0.1094457365	0.1077710551
597	0.109348342	0.1076968847
598	0.1092712123	0.1076344633
599	0.1091762962	0.1075288247
600	0.1090924032	0.1074444105
601	0.1090359442	0.1073814295
602	0.1089504576	0.1072646481
603	0.108903095	0.1072143964
604	0.1088620809	0.1071654497
605	0.1086972076	0.1070390411
606	0.1085965646	0.1069349099
607	0.1085493862	0.1068843403
608	0.1084702985	0.1068046116
609	0.1084339019	0.1067606824
610	0.1083709208	0.1067007149
611	0.108249197	0.1065846006
612	0.1082029335	0.1065313557
613	0.1080207765	0.1063974454
614	0.107961936	0.1063320794
615	0.1078996456	0.1062593793
616	0.1078725396	0.1062071426
617	0.1078221252	0.1061457029
618	0.1076505697	0.1060082728
619	0.1075499818	0.1059234464
620	0.1074626009	0.1058495922
621	0.1074048047	0.1057699196
622	0.1073435133	0.1056946629
623	0.1073152047	0.1056581701
624	0.107249856	0.1055723322
625	0.1072315085	0.1055384327
626	0.1071721971	0.1054641005
627	0.106997823	0.1053242292
628	0.1068743302	0.1052053799
629	0.1068112295	0.1051193812
630	0.1067852212	0.105065463
631	0.1067408689	0.1049878411
632	0.1066996238	0.1049240016
633	0.1065491035	0.1048056186
634	0.1064452423	0.1046715892
635	0.1063601112	0.1045570775
636	0.106275665	0.1044927281
637	0.1061486638	0.104372495
638	0.1059614348	0.1042275883
639	0.1059073245	0.104154932
640	0.1058122432	0.1040332195
641	0.1057756389	0.1039642753
642	0.1056553406	0.1038106235
643	0.1055775203	0.1037276599
644	0.1055228676	0.1036772559
645	0.1054655783	0.1035944638
646	0.1053847489	0.1035272298
647	0.1053434118	0.1034829103
648	0.105304973	0.1034277243
649	0.1051831769	0.1033124119
650	0.1051320442	0.1032035334
651	0.1050555888	0.1031118858
652	0.1049705624	0.1030364555
653	0.1049203755	0.1029684948
654	0.1048690996	0.1028859328
655	0.1047136505	0.1027615613
656	0.1046867896	0.1027303938
657	0.1046579233	0.1026899087
658	0.1046277829	0.1026369293
659	0.1045915599	0.1025767599
660	0.1044674331	0.1024766687
661	0.1043896236	0.1024011042
662	0.1043379656	0.102343621
663	0.1041679953	0.1022119905
664	0.1040473238	0.1020972302
